price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_living,no_of_kitchen,facing,road_size
Rs 4 Crore,"location: Kathmandu, Swoyambhu",4 Anna 1 Dam,If you and your family planning to settle around Swoyambhu nath Temple then this property might be a option for your family. Located just near to Man Mohan Hospital radius and 300 meters away from Kathmandu ringroad area. Facing towards North-East perfect vastu oriented Property. Total 2.5 storied and open to two sides with plenty natural lights from all over the property. Built in 2269.02 Sq.ft area. Feel free to take a look at this property.,5,4,2,2,EAST-NORTH,16 feets
Rs 2.60 crore,"location: Chandragiri,Kathmandu",4 aana 2 paisa 1 daam,"Discover your dream home in Chandragiri-8, Matatirtha, with this exquisite 2.5-storey property boasting a spacious design and premium features. Located near the iconic Matatirtha Temple, this residential gem offers a comfortable living experience. With a pillar size of 12x12, the property is designed for durability and stability. Enjoy the convenience of a north-west facing orientation, ensuring ample natural light and ventilation. Stay prepared with a reserve tank capacity of 12,000 litres, perfect for uninterrupted water supply. Spanning across 4 aana 2 paisa 1 daam of land, this home features a gravel road of 13 feet width, providing easy access. Park your vehicles effortlessly with space for 1 car and 2-4 bikes. Embrace sustainability with solar power and indulge in culinary delights with the modular kitchen setup.",5,5,2,1,EAST,13 Feets
Rs 3.8 CRORE,"location: Kathmandu, Swoyambhu",5 Anna 2 paisa,"Discover this exquisite property nestled in the heart of Kimdol, situated along Pragati Mukh Marga with easy access to the Army Family Quarter landmark. Priced at 4 crores, this impeccably designed residence spans across 2.5 storeys and boasts a north-east facing orientation, ensuring optimal sunlight and ventilation. With parking space for 2 cars and 8-10 bikes, convenience is at the forefront, complemented by a generous reserve tank capacity of 13,000 litres. The property enjoys a road frontage of 12 feet and occupies a land size of 5 aana 2 paisa, ideal for residential purposes. Enhancing comfort and luxury, the home features a modern modular kitchen, a relaxing bathtub, and a lavish master bedroom. Additionally, amenities such as a well, solar panel installation, and proximity to essential facilities enrich the living experience. Don't miss the opportunity to embrace a lifestyle of sophistication and convenience in this sought-after location.",5,5,2,1,EAST-NORTH,12 Feets
Rs 2 crore 25 lakh,"location: Kathmandu,Budhanilkantha",2 aana 3 paisa,"Discover this charming residential property located in Sundarbasti, just 2 km away from Budhanilkantha, with convenient access to Man Bahadur Chowk. Situated near the renowned Neuro Hospital, this two-story dwelling boasts a prime location. Facing both south and west directions, the property offers ample parking space for 1 car and 4-5 bikes. Built in 2080 BS, it features a reserve tank with a capacity of 12,000 liters, ensuring constant water supply. The property spans 2 aana 3 paisa and is ideal for residential use.",5,4,1,1,SOUTH-WEST,13 Feets
Rs 2 crore 25 lakh,"location: Kathmandu,Budhanilkantha",2 aana 3 paisa,"""Discover this charming residential property located in Sundarbasti, just 2 km away from Budhanilkantha, with convenient access to Man Bahadur Chowk. Situated near the renowned Neuro Hospital, this two-story dwelling boasts a prime location. Facing both south and west directions, the property offers ample parking space for 1 car and 4-5 bikes. Built in 2080 BS, it features a reserve tank with a capacity of 12,000 liters, ensuring constant water supply. The property spans 2 aana 3 paisa and is ideal for residential use.",5,4,1,1,SOUTH-WEST,13 Feets
Rs 9 CRORE 50 LAKHS,"location: Lalitpur,Bhaisipati",17 ana,"Discover this enticing property located in Bhaisipati, with a prominent landmark on Khadka Gaun Marga. Priced attractively at 9.50 lakhs, this 2.5-storey home boasts an east-facing orientation, ample parking space for 2 cars, and a reserve tank capacity of 7000 liters. Situated on a 15 feet wide concrete road, this property spans across a generous land size of 17 aana (1 ropani), ideal for residential purposes. Semi-furnished for convenience, it also features drinking water facilities and ensures high-security standards for peace of mind.",4,3,2,1,EAST,15 FEETS
Rs 3 CRORE 50 LAKH,"location: Kathmandu, Sitapaila",3 Anna 2 Paisa,"Discover your ideal home in the coveted neighborhood of Chhauni, just a stone's throw away from Shrinikunj Colony and Rupys International School. This semi-furnished property boasts a generous land size of 3 aana 2 paisa, with a convenient 22 feet road frontage facing southeast. Equipped with a reserve tank of 12,000 liters and a water tank of 1000 liters, it ensures uninterrupted water supply. Ample parking space for 2 cars and 3 bikes adds to the convenience. With a price tag of 3.50, this property also features a laundry space, making it a perfect blend of comfort and functionality.",5,2,1,1,SOUTH-EAST,22 Feets
Rs 4 Crore 30 Lakh,"location: Lalitpur,Bhaisipati",4.5 Anna,"Discover your ideal property in Bhaisipati, conveniently situated near Manjushree Marga. This charming home boasts a prime location with easy access via a 12-feet concrete road, facing west for optimal sunlight. Featuring spacious pillars measuring 12*12, this property offers stability and durability. With parking space for one car and two bikes, you'll never have to worry about parking again. Enjoy modern amenities such as solar water, a stylish modular kitchen, and a generous land size of 4.5 aana. Located just 1km away from Bhaisipati Chowk, convenience meets comfort in this sought-after neighborhood.",4,4,2,1,WEST,12 Feets
Rs 6 crore,"location: Kathmandu,Budhanilkantha",8 aana 1 paisa,"Discover this exquisite property nestled in the serene Ishan Colony, ideally situated near Buddhanilkantha, just a stone's throw away from Deuba Chowk and a mere 300 meters from the bustling Ring Road. Priced at an attractive 5.25 crore, this meticulously crafted home boasts 2.5 stories, offering ample space and functionality.",5,3,2,1,South-East,16 feets
Rs 3 Crore 25 lakh,"location: Kathmandu, Swoyambhu",3 Anna 2 Paisa,"Discover your dream residential property in the serene locality of Duidhara, Gairigaun, featuring a distinctive landmark - the single tree. Located approximately 200 m away from Ward No. 2  Nagarjun, this property boasts a substantial pillar size of 12*12 and was constructed in the year 2080 B.S. With a land size of 3 aana 2 paisa, this property is ideal for residential purposes. Accessible via a concrete road measuring 12 ft, it offers convenience and durability. Equipped with a reserve tank of 12,000 liters and drinking water facilities, your water needs are well taken care of. The property faces north, ensuring optimal sunlight and ventilation. Parking space accommodates 1 car and 6-7 bikes. Semi-furnished and featuring parquet flooring, this property offers both comfort and style.",6,4,3,3,NORTH,12 Feets
Rs 3 CRORE 75 LAKH,"location: Kathmandu, Swoyambhu",3 Anna 2 Paisa,"Discover your dream home at Shanti Chowk, conveniently located near Buddha Chowk, offering breathtaking views of the iconic Single Tree. Situated in Ward No. Nagarjun, this newly constructed property boasts a spacious layout with a pillar size of 12x12. With a land size spanning 3 Aana 2 Paisa, this residential property is perfect for your family's needs.",6,6,2,2,EAST-NORTH,20 Feets
Rs 6 CRORE 50 LAKH,"location: Lalitpur,Satdobato",10 aana,"Discover an exceptional property nestled in the prime location of Satdobato, Lalitpur Mahanagarpalika, offering unparalleled convenience and stunning views. Situated just 200 meters away from the renowned Anfa Ground, this immaculate property boasts a generous land size of 10 aana, with a 4.5 storey structure designed for optimal functionality.",9,7,3,3,SOUTH-EAST,13 Feets
Rs 3 Crore 35 lakh,"location: Lalitpur,Imadol",4 Anna,"Welcome to TempoPark, located in Lalitpur, just 200 meters away from the main road and conveniently close to Mahalaxmi Mahanagar Palika. This property boasts a prime location with easy access to amenities and transportation.",6,4,2,2,SOUTH/EAST,13 Feets
Rs 2 Crore 95 Lakh,"location: Lalitpur,Imadol",3 aana 2 paisa,"Discover your dream home at Tempopark, Imadol, conveniently situated just 200m from the main road. This newly constructed property boasts a spacious pillar size of 12x12 and offers a perfect blend of comfort and style. With a generous land size of 3 aana 2 paisa and 3.5 storeys, this residence promises ample space for your family to thrive.",6,6,1,2,EAST-NORTH,13 Feets
Rs 2 CRORE 60 LAKH,"location: Lalitpur,Imadol",3 Anna,"Discover your dream home in the prime location of Imadol, Tikathali! This exquisite property, just 100 meters away from the iconic Pani Tanki, offers a perfect blend of comfort and convenience. Priced at an attractive 2 crore 60 lakhs, this 2.5-storey gem comes with parking space for 2 cars and 3-4 bikes.",6,3,2,2,EAST-NORTH,13 Feets
Rs 2 CRORE 30 LAKH,"location: Lalitpur,Imadol",2.75 Anna,"Discover your dream home in the prime location of Imadol, Tikathali! This exquisite property, just 100 meters away from the iconic Pani Tanki, offers a perfect blend of comfort and convenience. Priced at an attractive 2 crore 30 lakhs, this 2.5-storey gem comes with parking space for 1 car and 2-3 bikes.",6,4,2,2,WEST,13 Feets
Rs 3 Crore 15 Lakh,"location: Lalitpur,Imadol",3.2,"Discover your dream home in the prime location of Imadol, Tikathali! This exquisite property, just 100 meters away from the iconic Pani Tanki, offers a perfect blend of comfort and convenience. Priced at an attractive 3 crore 15 lakhs, this 2.5-storey gem comes with parking space for 1 car and 5-6 bikes.",7,4,2,2,WEST-NORTH,13 Feets
Rs 4 Crore 15 Lakh,"location: Lalitpur,Imadol",4 anna 2 paisa,"Discover your dream home in Imadol, Golbhatta, with this fantastic property! Nestled in the heart of the picturesque Green Hilly City, this 3.5-story gem is strategically located just 150 meters away from the highway. Enjoy the convenience of an east-facing property with ample parking space for 2 cars and 3-4 bikes.",7,6,2,2,EAST,20 Feets
Rs 4 Crore 40 Lakh,"location: Kathmandu, Ramkot",8 anna,"Discover your dream home in the serene neighborhood of Ramkot, just 4 km away from Sitapaila, with easy access only 200 meters inside the Mahankal Mandir. This exquisite property, priced at 4.40 CR, boasts a modern 3.5-storey design facing the west, ensuring stunning views and optimal sunlight.",8,8,2,1,WEST,13 Feets
Rs 3 Crore 45 Lakh,"location: Kathmandu, Sano bharayang",4 Anna 3 paisa,"Discover your dream home in the prime location of Sano Bharyang, just a stone's throw away from Swostishree Gurukul School. This meticulously crafted 3.5-story property boasts a southern-facing orientation, offering ample natural light throughout the day. With parking space for 2 cars and 3 bikes, convenience meets luxury seamlessly.",13,9,2,3,SOUTH,10 Feets
Rs 3 Crore 5 Lakh,"location: Lalitpur,Imadol",3 Anna 2 Paisa,"Discover your dream home in a prime location! This meticulously crafted property is situated in Imadol, Ward No. 2, just a stone's throw away from the rejuvenating allure of a swimming pool, mere 400 meters distant. Constructed in 2079 B.S., this 2.5-story residence boasts an east-facing orientation, offering an abundance of natural light and scenic views.",5,4,1,2,EAST,13 Feets
Rs 2 CRORE 80 LAKH,"location: Lalitpur,Imadol",3 Anna,"Discover this newly built property located in Imadol, Lalitpur, just 900 meters away from Bhadrakali petrol pump. Built in the year 2080 B.S., this 3.5-storey property offers a convenient and comfortable living experience. The property faces north, providing ample natural light throughout the day. With parking space for 2 cars and 2-3 bikes, you'll never have to worry about parking.",7,4,1,2,NORTH,20 Feets
Rs 3 Crore 55 Lakh,"location: Lalitpur,Imadol",3 Anna 2 Paisa,"Discover your dream home in the prime location of Imadol, Ochu Height, with the iconic 3D Art Museum as your landmark. This newly constructed property, boasting 2.5 stories, is priced at 3.55 crores. Facing south, the residence offers a perfect blend of modern luxury and convenience.",5,5,2,2,SOUTH,20 Feets
Rs 4 Crore 45 Lakh,"location: Lalipur,Tikathali",4 Anna,"Discover a prime commercial property in Lalitpur, strategically situated in the bustling areas of Imadol and Tikathali, in close proximity to Sanagaun. This exceptional location is marked by prominent landmarks like Bhatbhateni, Pani Tanki, making it a highly sought-after investment. The property is exclusively designed for commercial use, featuring a west-facing facade with 3.5 storeys.",6,4,2,1,WEST,23 feets
Rs 2 Crore 52 Lakh (Negotiable),"location: Lalitpur,Imadol",3 Anna,"Discover your dream home in the prime location of Tikathali, Lalitpur! This newly constructed property, established in 2080 B.S., boasts a solid foundation with pillar sizes measuring 14x14. Situated on a 3 anna land, this residential haven offers a spacious and well-designed living space.",4,4,1,2,SOUTH,13 Feet
Rs 4 Crore 20 Lakh,"location: Imadol,Gauri Sankar",4 Anna 1 Paisa,"Discover your dream home in the prime location of Imadol, Balkumari, just a mere 500 meters away from the bustling ring road. This newly constructed property, built in 2080, boasts a modern design with three spacious stories. Enjoy the warmth of the southern exposure and relish the convenience of a 13-ft road size. With a land size of 4 aana 1 paisa, this residential property is priced at an attractive 4.20 crores.",6,4,2,2,SOUTH,13 Feet
Rs 4.60 CRORE,"location: KATHMANDU, SANOBHARYANG",4 anna 2 paisa,"Discover the epitome of convenience and modern living at this prime property located in Sanobharyang, just a stone's throw away from Rumba Chowk and in close proximity to the renowned Rumba Department Store. Strategically positioned only 1km from Sanobharyang Chowk, this property boasts a location that seamlessly blends accessibility with tranquility.",5,6,2,2,EAST,16 feets
Rs 3.95 CRORE,"location: Lalitpur,Imadol",3 aana 3 daam,"Discover your dream home in the prime location of Imadol, Sital Height, just a stone's throw away from Millennium School. This stunning property, facing southeast, boasts a 13 feet wide concrete road, ensuring easy accessibility. Built in the year 2080 B.S., the house stands strong with a pillar size of 12x12 and a land size of 3 aana 3 daam.",7,6,2,2,SOUTH-EAST,13 Feets
Rs 3.21 CRORE,"location: Lalitpur,Imadol",3 Anna 3 daam,"Discover your dream home at this prime property located in Imadol, Sital Height, just a short 250 meters away from the main highway. This south-facing property boasts a well-designed 3.5-story structure, providing a perfect blend of elegance and functionality.",6,5,2,2,SOUTH,13 Feets
"Rs 5,00,00,000","location: Kathmandu, Koteshwor",4 Anna,"Discover your dream bungalow concept in the serene locale of Balkot, at Rose Village Housing. Just 800 meters from the bustling Araniko Highway and a mere 3.5 kilometers from Koteshwor Chowk, this idyllic property is perfectly situated for a tranquil lifestyle.",4,5,2,1,EAST--SOUTH,20 Feets
Rs 11 CRORE,"location: Kathmandu, Sanepa",11 Anna,"Discover luxury living in this exquisite property located in the prime area of Sanepa, just 100 meters away from Sanepa Chowk. Built in the year 2060 B.S., this residential gem boasts a spacious land size of 11 Aana, offering ample space and privacy.",7,5,1,2,SOUTH,10 Feets
Rs 5.50 CRORE,"location: Kathmandu, Chhauni",4 aana 3 paisa,"Discover an exquisite property nestled in the prime location of Chhauni, strategically situated near Euro Kids, Chhauni Hospital, and renowned schools. Priced at 5.50 crores, this property boasts a generous land size of 4 ana 3 paisa and features a thoughtfully designed 2.5-storey structure. Oriented to the east, the property offers a serene ambiance and ample parking space with accommodation for 1 acre and 4-5 bikes.",5,4,2,2,EAST,10 Feets
Rs 8 CRORE,"location: Kathmandu, Manamaiju",1 ropani,"Discover your dream home in the prime location of Manamiju, adjacent to Suvakamana Tole and in close proximity to Sangam Colony. This remarkable 3.5-story property boasts a favorable south-east facing orientation, ensuring ample natural light and a refreshing ambiance.",7,5,1,1,SOUTH/EAST,13 Feets
Rs 2.75 CRORE,"location: Lalitpur,Imadol",3 Anna,"Welcome to this immaculate 2.5-storey property located in the prime area of Imadol Sikhar Tole, in close proximity to Bhadrakali Petrol Pump. This brand-new residence boasts a contemporary design, with the property's facade showcasing a fresh and modern aesthetic.",5,5,2,2,EAST-SOUTH,12 Feets
Rs 2.95 CRORE,"location: Lalitpur,Imadol",3 anna 1 paisa 3 daam,"Discover your dream property in the serene locale of Imadol! This prime location is just a short 1.5 km away from Gwarko Chowk, with easy access to Tempo Park. Positioned in the west direction, the property boasts a 13 ft concrete road, ensuring smooth connectivity. Priced at an attractive 2.95 lakhs, this investment offers great value.",6,4,2,2,WEST,13 Feets
Rs 3.35 CRORE,"location: Kathmandu, Imadol",3 aana 2 paisa,"Explore the epitome of modern living at Imadol Shital Heights, featuring a brand new 3.5-storey home boasting 3 Ana 2 Paisa of space. Strategically located near Landmark Millennium College, this property offers convenience and accessibility. The residence is complemented by a 13-feet wide concrete road, ensuring smooth commuting. With dedicated parking space for 1 car and 4 bikes, this home is designed for practicality.",6,5,1,2,North/East,13 Feet
Rs Negotiable,"location: Kathmandu,Tarkeshwor",13 ropanies,"Discover the epitome of tranquility and luxury living with this fully residential villa nestled in the pristine locale of Tarkeshwor, Osho Tapo Ban. Embrace the serenity of nature with a sprawling 13 ropanies of land, surrounded by lush jungles, offering an awe-inspiring view and an unparalleled sense of peace. This property is a haven away from the hustle and bustle, boasting a noise-free and pollution-free environment.",6,3,2,1,North/East,15 feets
Rs 1 lakh 70 thousand per month (FOR RENT),"location: Kathmandu, Dallu Awas",5.5 Anna, ,11,3,1,1,SOUTH,13 Feets
"Rs 2,50,00,000","location: Kathmandu, Bafal",3 Anna 1 Paisa,"Discover your dream property in the prime location of Bafal, just steps away from Everest Bank and a mere 300 meters from the bustling main Bafal Ringroad. Built in 2079, this meticulously crafted property features sturdy pillars sized at 12*12, spanning across 2.5 storeys. Enjoy the optimal orientation with a south/east-facing property, providing abundant natural light. The convenience of parking is at your fingertips with space for 1 car and 3 bikes.",5,3,2,2,SOUTH/EAST,14 Feets
"Rs 3,25,00,000","location: Kathmandu, Sitapaila",4 Anna,"Discover your dream home in the prime location of Adheshwor, just a stone's throw away from Sitapaila Thapachwok. Built in the auspicious year 2080 B.S., this property is now available for sale at an attractive price of 3.25 crores.",6,4,1,2,EAST,14 Feets
"Rs 4,25,00,000","location: Kathmandu, Swoyambhu",4 Anna 1 Paisa 2 Daam,"Discover your dream home at Sitapaila, Karkhana Chowk, just a stone's throw away from the iconic Swoyambhu. Nestled on 0.4.1.2 acres of prime land, this property boasts an ideal east/north-facing orientation, ensuring abundant natural light throughout the day. The 15 feet concrete road frontage provides easy access to your new residence.",4,4,2,1,EAST-NORTH,15 feets
"Rs 4,20,00,000","location: Kathmandu, Thulo Bharayang,",3 Anna 2 Paisa,"Discover your dream home in the heart of Thulobharyang, Ekdhara, just a stone's throw away from Reed Model Secondary School and the inviting swimming pool. This prime residential property boasts an ideal east and south-facing orientation, offering the perfect blend of natural sunlight and warmth.",7,6,2,3,EAST-SOUTH,18 Feets
"Rs 3,75,000,00","location: Kathmandu, Lalitpur",4 anna 2 daam,"Discover your dream home in the prime location of Imadol, Nayabasti, just a stone's throw away from a refreshing swimming pool. This 2.5-story property, conveniently situated at a mere 1.3 km from Gwarko, offers a spacious flat for rent. The sturdy construction boasts pillars sized at 12x12, ensuring durability and stability.",6,4,2,2,EAST,14 Feet
"Rs 2,30,000,00","location: Kathmandu, Ramkot",3.1.2,"""Discover a perfect home in the serene neighborhood of Ramkot, near Ramkot and Mahankal. This splendid property, built in 2080 B.S., boasts a 3.5-story structure with a spacious interior. Priced at 2.30 crore, this residence features a sturdy construction with 12x12 pillar size and a generous land area of 3.1.2. The property faces east, offering a beautiful view, and comes with a concrete road for easy access.Enjoy the convenience of parking with space for 3 bikes, and ensure a steady water supply with a 9000-liter reserve tank. The location is just 3.5 km away from Sitapaila Chowk, providing easy connectivity to the city. This residential property is designed for modern living, including a modular kitchen setup. Benefit from 24-hour water supply and relish the comfort of a well-constructed home in a peaceful setting.",3,3,2,1,EAST,20 Feets
"Rs 2,50,000,00","location: Kathmandu, Sitapaila",3 Anna 1 Paisa 2 daam,"Discover your dream home in Sitapaila, nestled near the iconic Civil Home. This stunning 2.5-story property, priced at an attractive 2.50 crores, boasts a west-facing facade that welcomes abundant natural light. With convenient parking for 1 car and 1 bike, this residence ensures hassle-free mobility.",6,4,2,2,WEST,13 Feet
"Rs 4,20,00,000","location: Kathmandu, Sano bharyang",4.75,"Discover a prime property in Sano bharyang, strategically located near Swostishree Gurukul and BigMart. This spacious land boasts a generous size of 4.5 anna, featuring sturdy 12*12 pillars, a substantial tank capacity of 10,000 liters, and a well-constructed 13 feet concrete road. The property provides convenient parking for 1 car and 2-3 bikes. With a west-facing orientation, it's an ideal residential and bungalow-type space. Priced at 4 crores, the cost is negotiable, offering excellent value. Situated just 1 km from Sanobharyang, this property ensures proximity to essential amenities.",6,4,2,1,West,13 Feet
"Rs 2,75,00,000","location: Kathmandu, Swoyambhu",3.2 Anna,"Explore a charming 2.5-storey property located in the heart of Swoyambhu Gairigaun near Nagarjun Ward No. 2. Built in 2077 B.S., this well-crafted home boasts a robust foundation with pillar dimensions of 12*12. Positioned facing west, the property offers captivating views, while its sides open up to the south and north. Spanning 3.2 ana, the land comes with a 12-feet road frontage, enhancing accessibility.",6,4,2,2,WEST,12 Feets
Rs 5.75 Crore,"location: Kathmandu, Bijeshwori",5 anna 2 paisa 2 daam,"Discover an ideal residential property nestled in the heart of Bijeshwori, with the iconic Bijeshwori Temple as your landmark. This meticulously crafted home, built in 2079 B.S., boasts a pillar size of 14*14, a spacious land size of 5 anna 2 paisa 2 daam, and an impressive 3.5-storey structure.",5,4,2,2,EAST-NORTH,15 FEETS
Rs 4.30 Crore,"location: Kathmandu, Kuleshwor",5 anna,"Discover your dream home in the heart of Kuleshwor, with a prime location near Machha Gate and Gyankunj College. This 2.5-storey property, constructed in 2077 B.S., boasts a solid foundation with pillar dimensions of 12*12. The spacious land spans 5 annas and is positioned towards the west/north direction, providing an ideal residential setting.",9,4,2,1,WEST/NORTH,13 Feet
Rs 3.25,"location: Kathmandu, Syuchatar",4.5 Anna,"Discover your dream home in Syuchatar, just a stone's throw away from Dristi Eye Hospital! This prime property is strategically located, with only a 1km distance from Kalanki. The pillar size is a spacious 12/12, offering a solid foundation for your future abode. Priced at an attractive 3.25 crores, this 3.5-storey gem awaits its new owner.",6,4,2,2,NORTH/WEST,13 Feets
Rs 2.80 Crore,"location: Kathmandu, Tokha",4 Anna,"Discover the epitome of elegance in this stunning house property nestled in the heart of Megha City, Tokha. Priced at a sweet deal of 2.80 Crore, this exquisite home was crafted in 2079 B.S., boasting 2.5 stories of luxurious living. The property faces west, ensuring breathtaking views and ample natural light.",6,3,1,1,WEST,20 Feets
Rs 2 CRORE 20 LAKH,"location: Kathmandu, Sitapaila",3.2 Anna,"Discover your dream home in the picturesque neighborhood of Sitapaila, just 1 km away from the bustling city center. This beautiful 2.5-story house, built in 2079 BS, boasts a spacious 3.2 anna land size, providing you with ample space to create lasting memories.",4,5,1,1,WEST,20 Feets
Rs 3 Crore,"location: Lalitpur,Imadol",3.5 Anna,"Explore this spacious 3-storey property located in the serene Imadol Ochu Height, Lalitpur. This beautiful house features a 1 BHK flat for rent, with a well-designed kitchen, dining area, and living room on the first floor. The second floor boasts a total of 5 bedrooms, each with attached bathrooms and adorned with curtains. The property offers a 16 feet concrete road access, a parking space for 1 car, and a charming mini garden. Enjoy the convenience of fans in every room. With a west-facing front, this property is priced at 3 crore 25 lakh. Don't miss the opportunity to make this house your home!""",5,2,1,2,WEST,16 feets
Rs 2.20 Crore,"location: Kathmandu, Sano bharyang",3 Anna,"Explore this exquisite 2.5-storey property located near Radha Krishna Mandir in Sanobharyang, boasting a prime position facing north and west. Built in 2076 B.S., this residence features parking for 1 car and 2 bikes, a generous 12,000-liter reserve tank, and sturdy 12x12 pillar size. With a land size of 3 anna and a 14 feet black-topped road, this home is ideal for a single-family residence, resembling a bungalow. Conveniently situated just 1 km from Sanobharyang, it offers proximity to all amenities, including stores, medical facilities, marts, and more.",4,3,1,1,NORTH/WEST,14 Feet
Rs 3.55 CRORE,"location: Kathmandu, Swoyambhu",4 Anna,"Discover your dream home in Swoyambhu, featuring a meticulously crafted property built in 2077 B.S. This 4 anna land boasts a south-facing orientation, ensuring abundant sunlight throughout the day. With a substantial 10,000-liter reserve tank, uninterrupted water supply is guaranteed. Ideal for residential use, the property includes dedicated parking for 1 car and 3 bikes. The 13-foot concrete road ensures easy access, and the granite flooring adds a touch of luxury. Enjoy modern amenities such as solar power in this safe and secure residential area, just 300 meters away from the ring road.",5,3,2,3,south,13 Feets
Rs 230 lakhs,location: Pokhara -14,4 Anna,,5,3,2,3,south,13 Feets
"Rs 70,000 per month","location: Kathmandu, Bafal",3 Anna,"Welcome to your dream home in the heart of Bafal, just a stone's throw away from the prestigious Hyatt Palace. This exquisite property, constructed in 2063 B.S., offers a perfect blend of modern living and traditional charm.",6,3,1,2,EAST-SOUTH,22 Feets
"Rs 2,35,00,000","location: Dakshin Barahi,New Thimi,Bhaktapur, Nepal",3 Anna,,6,3,1,2,EAST-SOUTH,22 Feets
Rs 5 Crore,"location: Kathmandu,Balaju",5 Anna,"Discover your dream home in Balaju, just 200 meters away from Kohinoor School. This remarkable 3.5-story property, built in 2068 B.S., boasts a spacious 5 aana land, with a pillar size of 9x12. Enjoy the convenience of a 12000-liter reserve tank and a designated parking space for 4 bikes. The property faces east, ensuring optimal sunlight, and features a 14-foot concrete road for easy access.",8,8,1,4,East,14 feet
Rs 2.20 Crore,"location: Kathmandu, Chandragiri",5 Anna,"Discover your dream home in Chandragiri-Matatirtha! This 2.5-storey property, built in 2065 B.S., boasts a spacious 5 anna land with a south/east-facing orientation. Perfect for residential use, it features a 7000-litre reserve tank, ample parking space for 1 car and 3 bikes, and a flat system house design. Enjoy a convenient location just 2 km from the main Prithvi Highway, with a 13-foot gravel road access.",5,3,2,3,South/East,13 Feets
Rs 3.15 Crore,"location: Kathmandu, Imadol",4 anna 2 paisa 2 daam,"Explore your dream home at Imadol Ochu Heights, conveniently located near Shiva Mandir and Garden Street Gate. This 2.5-storey residential property, built in 2073 B.S., boasts a prime North/East orientation with Spacious Parking, Reserve Tank, and Scenic Surroundings, offering a serene living experience. With a 10,000-litre reserve tank, 4 anna 2 paisa 2 daam land size, and parking for 2 cars and 4 bikes, this home is designed for comfort. Enjoy easy access on a 15-20 feet concrete road, just 150 meters from the main highway.",6,4,2,2,North/East,15-20 feets
Rs 4 CRORE,"location: Kathmandu, Chhauni",0.3.3.2,"""Explore this prime property located in Chhauni Height, featuring a 2.5-storey home with 2 bedrooms, a pillar size of 12*9, built in 2068 B.S., and a land size of 0.3.3.2. Ideal for residential use, the property offers a 13 feet block-type road, marble countertops, fall ceilings, and a 8000-liter reserve tank with solar water. Conveniently close to family quarters, enjoy parking for 1 car and 4 bikes.",6,5,2,1,WEST,13 Feets
Rs 2.85 CRORE,"location: Kathmandu, Swoyambhu",3.2 Anna,"Discover your dream home in Kimdol with this meticulously crafted 2.5-storey property built in 2070 B.S. on a 3.2 anna land. Boasting a convenient location near family quarters and just a short distance from Swoyambhu Chowk, this residence features a 10*14 pillar size, a 13-feet concrete road, and ample parking for 1 car and 3 bikes. With a generous 10000-litre reserve tank and a prime west/south-facing orientation, this property is ideal for residential living.",4,3,2,2,WEST/ South,13 feet
Rs 4.50 CRORE,"location: Kathmandu, Soltido bato",5 anna 1 paisa 3 daam,"Explore this exceptional residential property situated on Soltido Bato, near Pancha Kumari Tol. Built in 2068 BS, this 3.5-story home offers a spacious layout with a land size of 5 Anna 1 Paisa 3 Daam. The property boasts an east-facing entrance, perfect for welcoming sunlight, and features parking for 2 cars and 5 bikes. With a road size of 13 feet and concrete road type, accessibility is enhanced. Notably, it's just 300 meters away from Soltido Bato, with prominent landmarks like Budathoki Cold Store nearby. Additionally, the property includes a reserve tank of 12,000 liters. Ideal for residential purposes, it also offers two shutters suitable for godown use, making it a versatile and valuable investment.",5,2,1,1,EAST,13 Feets
Rs 2.75 CRORE,"location: Kathmandu, Sitapaila",3 Anna 1 Paisa,"Discover your dream home in Sitapaila Shree Colony, just 700 meters from Sitapaila Chwok! This meticulously crafted 2.5-story residence, constructed in 2075 BS, sits on a spacious 3 anna 1 paisa plot. Enjoy the convenience of a 16-foot blacktopped road, providing easy access to your west-facing property.",4,3,2,1,WEST,16 feets
Rs 2 CRORE,"location: Kathmandu, Sitapaila",0.3.3.2,"Discover your dream home in the tranquil neighborhood of Sitapaila, just 1km from Sitapaila Chowk. This South/West facing property boasts a spacious 0.3.3.2 Anna land with a 13ft concrete road, ensuring easy access. The residence is nestled in a peaceful green environment, conveniently located near Bhairab Mandir, schools, and hospitals.",4,3,1,1,SOUTH-WEST,13 Feet
Rs 1.90 Crore,"location: Kathmandu, Thankot",3 Anna,"Explore this impressive 3-storey residential property in Thankot, conveniently located near the Oil Corporation Depot. Built in 2069 B.S., it features robust 9x12 inch pillars. The property boasts a generous 3 Aana land, offering ample space for comfortable living. With a 2000-liter reserve tank, you'll have uninterrupted water supply. Facing east, the property receives abundant natural light. Accessible via a 14-foot black-topped road, it's only 300 meters away from the main Prithvi Highway. Enjoy the convenience of triple water supply and proximity to hospitals and public transportation, all just 5 minutes away.",6,3,1,3,EAST,14 Feets
